ID_Pedido,Data_Envio,Produto,Categoria,Peso_KG,Origem,Destino,Distancia_KM,Transportadora,Metodo_Envio,Custo_Frete,Custo_Operacional_Total,Tempo_Entrega_Previsto_Dias,Status,Dias_Atraso,Avaliacao_Cliente
PED-20023,2023-01-24,Produto H,Categoria 1,8.66,CD Belo Horizonte,Rio de Janeiro,1024,Transportadora D,Padrão,6.05,13.77,7,Entregue,0,5.0
PED-20024,2023-01-25,Produto D,Categoria 1,71.39,CD Recife,Brasília,543,Transportadora A,Padrão,41.91,66.04,4,Entregue,0,4.0
PED-20025,2023-01-26,Produto E,Categoria 3,44.53,CD Curitiba,Fortaleza,1356,Transportadora C,Padrão,27.5,47.64,4,Entregue,0,3.0
PED-20026,2023-01-27,Produto J,Categoria 2,74.05,CD Curitiba,Curitiba,16,Transportadora A,Econômico,37.69,59.98,1,Entregue,0,4.0
PED-20027,2023-01-28,Produto J,Categoria 4,38.76,CD Rio de Janeiro,Salvador,121,Transportadora D,Padrão,12.46,24.69,1,Entregue,0,5.0
PED-20028,2023-01-29,Produto G,Categoria 4,61.7,CD Curitiba,Belo Horizonte,1500,Transportadora B,Expresso,41.07,67.08,7,Entregue,0,5.0
PED-20029,2023-01-30,Produto A,Categoria 4,38.33,CD Recife,Recife,47,Transportadora C,Padrão,20.61,32.34,1,Entregue,0,4.0
PED-20030,2023-01-31,Produto B,Categoria 1,54.36,CD Belo Horizonte,São Paulo,1866,Transportadora A,Expresso,52.4,78.04,4,Entregue,0,4.0
PED-20031,2023-02-01,Produto A,Categoria 1,27.54,CD Belo Horizonte,Brasília,1482,Transportadora B,Padrão,19.47,35.14,4,Entregue,0,4.0
PED-20032,2023-02-02,Produto F,Categoria 3,88.24,CD Curitiba,Curitiba,11,Transportadora D,Expresso,44.04,70.57,1,Entregue,0,5.0
PED-20033,2023-02-03,Produto E,Categoria 3,49.41,CD Curitiba,Curitiba,38,Transportadora C,Padrão,31.84,46.85,2,Em Trânsito,0,
PED-20034,2023-02-04,Produto I,Categoria 3,79.06,CD Rio de Janeiro,São Paulo,241,Transportadora B,Expresso,34.73,59.65,2,Entregue,0,5.0
PED-20035,2023-02-05,Produto F,Categoria 3,52.63,CD Curitiba,Recife,1128,Transportadora B,Padrão,43.4,64.83,4,Entregue,0,5.0
PED-20036,2023-02-06,Produto H,Categoria 4,32.55,CD Recife,Recife,39,Transportadora A,Expresso,20.64,30.6,1,Entregue,0,4.0
PED-20037,2023-02-07,Produto E,Categoria 3,50.15,CD Belo Horizonte,Manaus,662,Transportadora D,Econômico,23.48,41.84,4,Atrasado,5,2.0
PED-20038,2023-02-08,Produto B,Categoria 3,61.76,CD Rio de Janeiro,Brasília,1527,Transportadora A,Padrão,39.11,65.27,4,Entregue,0,5.0
PED-20039,2023-02-09,Produto H,Categoria 1,83.9,CD Rio de Janeiro,Porto Alegre,1257,Transportadora C,Econômico,53.37,84.82,6,Entregue,0,5.0
PED-20040,2023-02-10,Produto C,Categoria 1,60.85,CD Belo Horizonte,Belo Horizonte,894,Transportadora B,Padrão,37.81,60.53,3,Entregue,0,4.0
PED-20041,2023-02-11,Produto B,Categoria 1,37.61,CD Rio de Janeiro,Salvador,1741,Transportadora D,Padrão,38.89,58.88,6,Entregue,0,3.0
PED-20042,2023-02-12,Produto F,Categoria 4,70.49,CD Curitiba,Recife,1994,Transportadora A,Padrão,46.79,77.91,4,Atrasado,4,1.0
PED-20043,2023-02-13,Produto G,Categoria 2,60.29,CD Belo Horizonte,Brasília,1197,Transportadora A,Padrão,47.32,71.39,6,Em Trânsito,0,
PED-20044,2023-02-14,Produto C,Categoria 4,70.04,CD Rio de Janeiro,Recife,1438,Transportadora B,Expresso,48.62,76.82,4,Entregue,0,4.0
PED-20045,2023-02-15,Produto C,Categoria 2,38.08,CD Belo Horizonte,Manaus,1583,Transportadora C,Expresso,38.5,57.84,7,Entregue,0,5.0
PED-20046,2023-02-16,Produto J,Categoria 4,78.91,CD São Paulo,Porto Alegre,199,Transportadora B,Padrão,51.3,75.97,2,Entregue,0,3.0
PED-20047,2023-02-17,Produto E,Categoria 3,21.11,CD Curitiba,Curitiba,47,Transportadora C,Padrão,7.78,14.35,1,Entregue,0,4.0
PED-20048,2023-02-18,Produto J,Categoria 1,31.76,CD Belo Horizonte,Curitiba,340,Transportadora C,Econômico,9.94,21.17,4,Entregue,0,3.0
PED-20049,2023-02-19,Produto D,Categoria 4,40.81,CD Rio de Janeiro,Manaus,1529,Transportadora D,Econômico,25.93,45.82,5,Entregue,0,4.0
PED-20050,2023-02-20,Produto I,Categoria 4,25.25,CD São Paulo,Manaus,1158,Transportadora B,Padrão,14.75,28.11,7,Entregue,0,3.0
PED-20051,2023-02-21,Produto B,Categoria 4,29.42,CD Curitiba,Rio de Janeiro,1105,Transportadora D,Premium,29.06,43.41,7,Entregue,0,3.0
PED-20052,2023-02-22,Produto H,Categoria 1,23.47,CD Curitiba,Salvador,456,Transportadora B,Padrão,6.78,16.1,4,Atrasado,4,1.0
PED-20053,2023-02-23,Produto D,Categoria 1,60.24,CD Recife,São Paulo,1947,Transportadora B,Padrão,55.78,83.59,5,Entregue,0,4.0
PED-20054,2023-02-24,Produto F,Categoria 1,47.24,CD Rio de Janeiro,Curitiba,1025,Transportadora C,Econômico,24.48,43.78,4,Em Trânsito,0,
PED-20055,2023-02-25,Produto J,Categoria 1,2.92,CD Curitiba,Porto Alegre,700,Transportadora A,Padrão,4.91,9.29,5,Em Trânsito,0,
PED-20056,2023-02-26,Produto I,Categoria 1,93.56,CD Rio de Janeiro,Porto Alegre,1848,Transportadora C,Padrão,70.41,107.72,6,Entregue,0,4.0
PED-20057,2023-02-27,Produto E,Categoria 2,24.79,CD Belo Horizonte,Salvador,433,Transportadora C,Padrão,22.88,32.48,2,Em Trânsito,0,
PED-20058,2023-02-28,Produto I,Categoria 3,69.91,CD Rio de Janeiro,Curitiba,181,Transportadora A,Econômico,38.48,60.36,3,Entregue,0,5.0
PED-20059,2023-03-01,Produto I,Categoria 4,45.5,CD Curitiba,Fortaleza,694,Transportadora A,Econômico,21.34,38.46,4,Entregue,0,5.0
PED-20060,2023-03-02,Produto E,Categoria 4,80.11,CD Curitiba,Fortaleza,1331,Transportadora B,Padrão,47.17,77.86,6,Entregue,0,3.0
PED-20061,2023-03-03,Produto A,Categoria 1,39.19,CD Curitiba,São Paulo,778,Transportadora A,Padrão,36.44,52.09,3,Aguardando Retirada,0,
PED-20062,2023-03-04,Produto C,Categoria 3,34.85,CD Curitiba,Salvador,973,Transportadora A,Padrão,19.12,34.44,4,Entregue,0,4.0
PED-20063,2023-03-05,Produto B,Categoria 4,38.41,CD Curitiba,Salvador,324,Transportadora B,Padrão,28.12,41.26,3,Entregue,0,5.0
PED-20064,2023-03-06,Produto F,Categoria 4,49.35,CD Curitiba,Curitiba,19,Transportadora A,Padrão,25.65,40.55,2,Atrasado,5,2.0
PED-20065,2023-03-07,Produto F,Categoria 1,72.56,CD Curitiba,Belo Horizonte,1814,Transportadora C,Expresso,51.85,82.69,6,Entregue,0,3.0
PED-20066,2023-03-08,Produto H,Categoria 4,90.96,CD Curitiba,Salvador,257,Transportadora B,Padrão,53.8,82.37,3,Entregue,0,5.0
PED-20067,2023-03-09,Produto D,Categoria 4,9.4,CD Belo Horizonte,São Paulo,507,Transportadora A,Padrão,14.74,20.09,3,Em Trânsito,0,
PED-20068,2023-03-10,Produto C,Categoria 1,25.87,CD Belo Horizonte,São Paulo,1087,Transportadora D,Padrão,25.9,39.1,4,Em Trânsito,0,
PED-20069,2023-03-11,Produto F,Categoria 2,23.24,CD Belo Horizonte,Fortaleza,1095,Transportadora C,Padrão,26.95,39.4,7,Extraviado,12,1.0
PED-20070,2023-03-12,Produto H,Categoria 2,36.98,CD Curitiba,Rio de Janeiro,610,Transportadora A,Econômico,34.36,48.5,3,Extraviado,9,1.0
PED-20071,2023-03-13,Produto D,Categoria 1,99.71,CD Rio de Janeiro,Recife,111,Transportadora D,Padrão,47.22,77.69,3,Entregue,0,5.0
PED-20072,2023-03-14,Produto H,Categoria 3,48.11,CD Recife,Brasília,893,Transportadora A,Padrão,36.43,55.33,4,Em Trânsito,0,
PED-20073,2023-03-15,Produto F,Categoria 1,17.27,CD Rio de Janeiro,Belo Horizonte,1688,Transportadora D,Padrão,31.41,45.03,7,Entregue,0,5.0
PED-20074,2023-03-16,Produto F,Categoria 3,85.44,CD Rio de Janeiro,Brasília,1624,Transportadora C,Padrão,59.04,92.79,5,Entregue,0,5.0
PED-20075,2023-03-17,Produto D,Categoria 4,64.68,CD Rio de Janeiro,Fortaleza,1752,Transportadora A,Padrão,45.66,73.82,5,Entregue,0,4.0
PED-20076,2023-03-18,Produto E,Categoria 1,60.11,CD Rio de Janeiro,Porto Alegre,1439,Transportadora C,Padrão,40.29,65.52,6,Entregue,0,5.0
PED-20077,2023-03-19,Produto E,Categoria 4,81.11,CD Recife,Belo Horizonte,1954,Transportadora A,Padrão,53.28,87.38,4,Aguardando Retirada,0,
PED-20078,2023-03-20,Produto J,Categoria 3,84.67,CD Rio de Janeiro,Manaus,461,Transportadora C,Padrão,47.86,75.57,4,Atrasado,3,1.0
PED-20079,2023-03-21,Produto A,Categoria 3,97.93,CD Recife,Brasília,1682,Transportadora B,Padrão,58.74,96.53,4,Entregue,0,5.0
PED-20080,2023-03-22,Produto C,Categoria 3,36.77,CD Belo Horizonte,Recife,871,Transportadora D,Padrão,30.46,45.85,5,Entregue,0,5.0
PED-20081,2023-03-23,Produto B,Categoria 3,76.19,CD Curitiba,Rio de Janeiro,189,Transportadora B,Premium,40.79,64.59,2,Entregue,0,4.0
PED-20082,2023-03-24,Produto G,Categoria 2,9.45,CD Recife,Salvador,719,Transportadora C,Padrão,7.66,14.09,5,Em Trânsito,0,
PED-20083,2023-03-25,Produto G,Categoria 3,91.63,CD Curitiba,Brasília,474,Transportadora A,Padrão,51.0,80.86,4,Em Trânsito,0,
PED-20084,2023-03-26,Produto G,Categoria 4,9.69,CD Belo Horizonte,Salvador,557,Transportadora A,Padrão,15.77,21.46,4,Entregue,0,5.0
PED-20085,2023-03-27,Produto H,Categoria 1,69.68,CD Belo Horizonte,Curitiba,796,Transportadora A,Padrão,35.81,60.69,4,Entregue,0,5.0
PED-20086,2023-03-28,Produto A,Categoria 3,5.48,CD Rio de Janeiro,Manaus,1872,Transportadora B,Expresso,27.95,38.95,4,Entregue,0,4.0
PED-20087,2023-03-29,Produto I,Categoria 4,8.39,CD Curitiba,Brasília,1498,Transportadora B,Padrão,14.95,24.96,5,Entregue,0,5.0
PED-20088,2023-03-30,Produto A,Categoria 3,93.24,CD Rio de Janeiro,Salvador,1295,Transportadora C,Expresso,62.0,96.45,4,Atrasado,2,2.0
PED-20089,2023-03-31,Produto I,Categoria 2,45.58,CD Curitiba,Belo Horizonte,1831,Transportadora B,Padrão,31.95,54.78,6,Entregue,0,5.0
PED-20090,2023-04-01,Produto F,Categoria 2,29.67,CD São Paulo,Manaus,1110,Transportadora B,Padrão,23.52,37.97,4,Entregue,0,5.0
PED-20091,2023-04-02,Produto A,Categoria 3,85.92,CD Recife,Belo Horizonte,568,Transportadora D,Expresso,39.45,68.07,4,Entregue,0,5.0
PED-20092,2023-04-03,Produto J,Categoria 4,28.21,CD Curitiba,Recife,1561,Transportadora C,Padrão,28.41,44.68,6,Entregue,0,5.0
PED-20093,2023-04-04,Produto G,Categoria 3,91.64,CD Belo Horizonte,São Paulo,1010,Transportadora A,Padrão,46.45,78.99,4,Extraviado,7,1.0
PED-20094,2023-04-05,Produto A,Categoria 2,23.29,CD Recife,Rio de Janeiro,1755,Transportadora C,Padrão,31.18,46.94,5,Entregue,0,5.0
PED-20095,2023-04-06,Produto I,Categoria 4,31.5,CD Curitiba,São Paulo,1535,Transportadora D,Expresso,21.16,38.28,5,Entregue,0,5.0
PED-20096,2023-04-07,Produto F,Categoria 1,52.29,CD São Paulo,Recife,1967,Transportadora D,Padrão,41.04,66.56,5,Entregue,0,4.0
PED-20097,2023-04-08,Produto I,Categoria 3,23.57,CD Rio de Janeiro,Porto Alegre,337,Transportadora A,Econômico,10.07,18.83,3,Entregue,0,5.0
PED-20098,2023-04-09,Produto H,Categoria 3,9.68,CD Rio de Janeiro,Brasília,307,Transportadora D,Padrão,4.82,9.26,2,Entregue,0,4.0
PED-20099,2023-04-10,Produto E,Categoria 2,5.69,CD Belo Horizonte,Recife,436,Transportadora B,Econômico,4.03,7.92,2,Em Trânsito,0,
PED-20100,2023-04-11,Produto J,Categoria 3,65.63,CD Recife,Belo Horizonte,385,Transportadora B,Padrão,33.89,55.5,2,Entregue,0,5.0
PED-20101,2023-04-12,Produto F,Categoria 3,78.53,CD Rio de Janeiro,Recife,370,Transportadora B,Expresso,43.28,68.69,3,Entregue,0,4.0
PED-20102,2023-04-13,Produto B,Categoria 1,95.41,CD Curitiba,Fortaleza,1616,Transportadora D,Padrão,64.47,101.17,6,Entregue,0,5.0
PED-20103,2023-04-14,Produto B,Categoria 1,94.18,CD Recife,Porto Alegre,1339,Transportadora A,Econômico,58.58,93.53,5,Entregue,0,3.0
PED-20104,2023-04-15,Produto J,Categoria 4,18.01,CD Curitiba,São Paulo,1252,Transportadora B,Padrão,22.79,34.45,5,Entregue,0,5.0
PED-20105,2023-04-16,Produto B,Categoria 3,55.02,CD Rio de Janeiro,Fortaleza,148,Transportadora D,Padrão,23.71,40.96,2,Entregue,0,4.0
PED-20106,2023-04-17,Produto I,Categoria 4,94.23,CD Curitiba,Recife,997,Transportadora D,Padrão,50.07,83.32,4,Atrasado,4,2.0
PED-20107,2023-04-18,Produto B,Categoria 2,89.54,CD São Paulo,Fortaleza,1116,Transportadora D,Padrão,51.32,83.76,4,Atrasado,3,2.0
PED-20108,2023-04-19,Produto I,Categoria 4,24.01,CD Rio de Janeiro,Belo Horizonte,850,Transportadora C,Padrão,15.06,26.51,4,Entregue,0,5.0
PED-20109,2023-04-20,Produto C,Categoria 2,80.87,CD Curitiba,Recife,1726,Transportadora C,Econômico,54.13,87.02,4,Entregue,0,5.0
PED-20110,2023-04-21,Produto I,Categoria 3,19.94,CD Recife,Manaus,1531,Transportadora B,Premium,28.51,42.15,7,Entregue,0,5.0
PED-20111,2023-04-22,Produto B,Categoria 4,71.4,CD Rio de Janeiro,São Paulo,980,Transportadora A,Padrão,42.82,69.14,3,Entregue,0,5.0
PED-20112,2023-04-23,Produto J,Categoria 3,7.2,CD Belo Horizonte,Salvador,142,Transportadora A,Econômico,11.45,14.32,1,Em Trânsito,0,
PED-20113,2023-04-24,Produto H,Categoria 3,10.6,CD Recife,Recife,43,Transportadora D,Padrão,11.43,14.82,1,Entregue,0,5.0
PED-20114,2023-04-25,Produto J,Categoria 4,81.82,CD Rio de Janeiro,Manaus,1938,Transportadora B,Padrão,57.8,92.04,4,Entregue,0,4.0
PED-20115,2023-04-26,Produto D,Categoria 3,18.28,CD Curitiba,Manaus,1520,Transportadora A,Expresso,15.18,28.26,4,Em Trânsito,0,
PED-20116,2023-04-27,Produto B,Categoria 2,12.85,CD Recife,São Paulo,854,Transportadora C,Expresso,19.25,27.38,5,Atrasado,5,1.0
PED-20117,2023-04-28,Produto G,Categoria 2,46.52,CD Rio de Janeiro,Porto Alegre,1400,Transportadora A,Premium,39.76,60.72,5,Entregue,0,5.0
PED-20118,2023-04-29,Produto E,Categoria 3,76.21,CD Rio de Janeiro,São Paulo,1213,Transportadora C,Padrão,41.3,70.23,4,Entregue,0,5.0
PED-20119,2023-04-30,Produto H,Categoria 1,72.46,CD Curitiba,Belo Horizonte,317,Transportadora C,Expresso,33.56,56.88,3,Entregue,0,5.0
PED-20120,2023-05-01,Produto H,Categoria 1,15.7,CD Belo Horizonte,Brasília,957,Transportadora D,Padrão,15.62,25.11,3,Entregue,0,5.0
PED-20121,2023-05-02,Produto C,Categoria 2,93.25,CD Curitiba,Rio de Janeiro,1070,Transportadora A,Padrão,64.45,97.77,5,Atrasado,3,3.0
PED-20122,2023-05-03,Produto F,Categoria 3,24.94,CD Rio de Janeiro,Rio de Janeiro,168,Transportadora C,Padrão,15.32,23.64,2,Em Trânsito,0,
PED-20123,2023-05-04,Produto B,Categoria 3,1.37,CD Rio de Janeiro,Belo Horizonte,671,Transportadora D,Premium,9.76,13.53,3,Em Trânsito,0,
PED-20124,2023-05-05,Produto C,Categoria 2,85.61,CD Curitiba,Belo Horizonte,993,Transportadora A,Econômico,58.47,89.12,5,Entregue,0,5.0
PED-20125,2023-05-06,Produto J,Categoria 4,76.75,CD Belo Horizonte,Rio de Janeiro,1241,Transportadora B,Expresso,41.12,70.35,6,Em Trânsito,0,
PED-20126,2023-05-07,Produto F,Categoria 1,51.57,CD Recife,Porto Alegre,1537,Transportadora A,Padrão,43.64,66.8,5,Entregue,0,5.0
PED-20127,2023-05-08,Produto H,Categoria 2,2.56,CD Recife,Belo Horizonte,964,Transportadora A,Padrão,13.64,19.23,4,Entregue,0,5.0
PED-20128,2023-05-09,Produto I,Categoria 1,50.7,CD Recife,Curitiba,237,Transportadora B,Padrão,36.49,52.89,3,Entregue,0,5.0
PED-20129,2023-05-10,Produto G,Categoria 1,6.16,CD São Paulo,Rio de Janeiro,233,Transportadora D,Padrão,13.9,16.91,4,Entregue,0,5.0
PED-20130,2023-05-11,Produto A,Categoria 4,13.93,CD São Paulo,Recife,278,Transportadora D,Padrão,3.44,9.01,4,Em Trânsito,0,
PED-20131,2023-05-12,Produto G,Categoria 3,5.31,CD São Paulo,Recife,638,Transportadora C,Expresso,0.33,5.11,4,Entregue,0,5.0
PED-20132,2023-05-13,Produto J,Categoria 2,16.01,CD São Paulo,Recife,1897,Transportadora A,Padrão,22.33,36.62,7,Entregue,0,4.0
PED-20133,2023-05-14,Produto E,Categoria 3,13.66,CD São Paulo,Rio de Janeiro,1461,Transportadora A,Padrão,12.38,23.78,4,Entregue,0,5.0
PED-20134,2023-05-15,Produto A,Categoria 3,86.24,CD São Paulo,Fortaleza,832,Transportadora C,Padrão,43.89,73.92,3,Entregue,0,4.0
PED-20135,2023-05-16,Produto J,Categoria 4,83.51,CD São Paulo,Recife,1072,Transportadora B,Padrão,50.31,80.72,5,Entregue,0,4.0
PED-20136,2023-05-17,Produto G,Categoria 2,57.6,CD Belo Horizonte,Rio de Janeiro,921,Transportadora C,Padrão,44.71,66.59,4,Entregue,0,5.0
PED-20137,2023-05-18,Produto A,Categoria 4,28.29,CD São Paulo,Brasília,1138,Transportadora D,Econômico,18.01,32.19,4,Em Trânsito,0,
PED-20138,2023-05-19,Produto A,Categoria 1,24.96,CD Belo Horizonte,Fortaleza,1982,Transportadora C,Expresso,33.42,50.82,6,Entregue,0,5.0
PED-20139,2023-05-20,Produto D,Categoria 3,17.93,CD Belo Horizonte,Porto Alegre,598,Transportadora A,Econômico,15.53,23.9,4,Entregue,0,4.0
PED-20140,2023-05-21,Produto F,Categoria 1,11.43,CD Rio de Janeiro,São Paulo,1956,Transportadora A,Padrão,15.37,28.58,6,Entregue,0,5.0
PED-20141,2023-05-22,Produto G,Categoria 3,25.2,CD Rio de Janeiro,Porto Alegre,2000,Transportadora A,Padrão,35.11,52.67,4,Em Trânsito,0,
PED-20142,2023-05-23,Produto C,Categoria 2,64.19,CD Rio de Janeiro,Fortaleza,1893,Transportadora C,Padrão,46.2,74.92,5,Entregue,0,5.0
PED-20143,2023-05-24,Produto E,Categoria 4,75.57,CD Belo Horizonte,Fortaleza,381,Transportadora B,Econômico,48.73,73.31,4,Entregue,0,4.0
PED-20144,2023-05-25,Produto D,Categoria 1,7.17,CD São Paulo,Belo Horizonte,347,Transportadora C,Expresso,0.6,4.49,3,Entregue,0,5.0
PED-20145,2023-05-26,Produto J,Categoria 2,38.05,CD Belo Horizonte,Porto Alegre,149,Transportadora D,Padrão,29.48,41.64,1,Entregue,0,4.0
PED-20146,2023-05-27,Produto F,Categoria 2,0.56,CD Recife,Rio de Janeiro,431,Transportadora B,Padrão,4.56,6.88,2,Entregue,0,5.0
PED-20147,2023-05-28,Produto I,Categoria 3,46.35,CD Belo Horizonte,Curitiba,276,Transportadora C,Padrão,34.55,49.84,3,Em Trânsito,0,
PED-20148,2023-05-29,Produto H,Categoria 1,79.98,CD Recife,Brasília,1268,Transportadora C,Expresso,52.98,83.31,6,Entregue,0,5.0
PED-20149,2023-05-30,Produto D,Categoria 4,67.91,CD Curitiba,Belo Horizonte,482,Transportadora D,Econômico,36.34,59.12,4,Entregue,0,5.0
PED-20150,2023-05-31,Produto J,Categoria 2,39.8,CD Curitiba,Rio de Janeiro,1461,Transportadora A,Padrão,39.79,59.03,4,Em Trânsito,0,
PED-20151,2023-06-01,Produto F,Categoria 2,54.38,CD Belo Horizonte,Salvador,502,Transportadora C,Padrão,32.78,51.6,3,Entregue,0,5.0
PED-20152,2023-06-02,Produto J,Categoria 2,40.69,CD Rio de Janeiro,Curitiba,1013,Transportadora A,Padrão,21.76,39.03,7,Entregue,0,5.0
PED-20153,2023-06-03,Produto C,Categoria 2,52.74,CD Belo Horizonte,Curitiba,1451,Transportadora D,Padrão,36.24,59.32,6,Entregue,0,4.0
PED-20154,2023-06-04,Produto D,Categoria 4,96.23,CD Belo Horizonte,São Paulo,1218,Transportadora C,Padrão,53.39,88.35,6,Entregue,0,5.0
PED-20155,2023-06-05,Produto C,Categoria 2,94.36,CD São Paulo,Porto Alegre,864,Transportadora C,Padrão,47.13,79.76,3,Entregue,0,4.0
PED-20156,2023-06-06,Produto D,Categoria 2,35.72,CD Recife,São Paulo,1241,Transportadora D,Expresso,34.2,51.12,5,Entregue,0,5.0
PED-20157,2023-06-07,Produto E,Categoria 1,60.75,CD Rio de Janeiro,São Paulo,638,Transportadora A,Expresso,39.14,60.55,4,Atrasado,3,2.0
PED-20158,2023-06-08,Produto C,Categoria 3,71.98,CD Rio de Janeiro,Curitiba,1078,Transportadora A,Padrão,42.67,69.65,5,Extraviado,13,1.0
PED-20159,2023-06-09,Produto B,Categoria 2,75.06,CD Rio de Janeiro,Brasília,236,Transportadora C,Econômico,33.31,57.01,4,Entregue,0,4.0
PED-20160,2023-06-10,Produto A,Categoria 1,75.29,CD Curitiba,São Paulo,1717,Transportadora C,Padrão,56.24,87.41,6,Entregue,0,4.0
PED-20161,2023-06-11,Produto I,Categoria 4,52.59,CD São Paulo,São Paulo,1444,Transportadora B,Padrão,44.12,67.12,4,Entregue,0,5.0
PED-20162,2023-06-12,Produto J,Categoria 4,41.06,CD Recife,Curitiba,479,Transportadora A,Padrão,29.93,44.64,3,Em Trânsito,0,
PED-20163,2023-06-13,Produto A,Categoria 4,50.56,CD Recife,Curitiba,1292,Transportadora B,Padrão,36.35,57.98,7,Entregue,0,5.0
PED-20164,2023-06-14,Produto C,Categoria 2,50.22,CD Curitiba,Belo Horizonte,946,Transportadora A,Padrão,27.74,47.54,5,Entregue,0,5.0
PED-20165,2023-06-15,Produto I,Categoria 4,80.58,CD Rio de Janeiro,Belo Horizonte,337,Transportadora C,Padrão,38.51,64.37,2,Em Trânsito,0,
PED-20166,2023-06-16,Produto F,Categoria 2,21.09,CD Recife,Porto Alegre,1246,Transportadora A,Padrão,21.4,33.96,5,Em Trânsito,0,
PED-20167,2023-06-17,Produto B,Categoria 4,60.18,CD Recife,Recife,24,Transportadora A,Premium,34.67,52.84,2,Em Trânsito,0,
PED-20168,2023-06-18,Produto F,Categoria 4,37.07,CD Curitiba,Recife,514,Transportadora C,Padrão,21.04,34.73,5,Entregue,0,5.0
PED-20169,2023-06-19,Produto F,Categoria 3,30.19,CD Belo Horizonte,Fortaleza,401,Transportadora C,Padrão,23.61,34.67,3,Em Trânsito,0,
PED-20170,2023-06-20,Produto D,Categoria 3,60.64,CD Rio de Janeiro,Fortaleza,715,Transportadora C,Padrão,38.04,59.81,5,Atrasado,3,1.0
