ID_Pedido,Data,ID_Cliente,Produto,Categoria,Preco_Unitario,Quantidade,Desconto_Percentual,Valor_Total,Metodo_Pagamento,Estado,Status_Pedido
PED-10052,2023-02-22,CLI-9537,Mouse Gamer,Computadores,458.23,3,20,1099.75,Boleto,DF,Entregue
PED-10053,2023-02-23,CLI-3778,HDD Externo 4TB,Periféricos,582.22,3,15,1484.66,Boleto,PE,Entregue
PED-10054,2023-02-24,CLI-7237,Câmera DSLR,Armazenamento,1932.75,1,0,1932.75,PIX,RJ,Enviado
PED-10055,2023-02-25,CLI-3777,"Smart TV 50""",Fotografia,3528.88,3,0,10586.64,Cartão de Débito,CE,Entregue
PED-10056,2023-02-26,CLI-3274,Notebook Pro 15,Acessórios,3155.66,1,5,2997.88,PayPal,PE,Entregue
PED-10057,2023-02-27,CLI-5405,Smartwatch,Smartphones,349.45,1,0,349.45,Boleto,PA,Entregue
PED-10058,2023-02-28,CLI-5933,"Monitor 27""",Fotografia,667.46,1,5,634.09,PIX,SP,Em Processamento
PED-10059,2023-03-01,CLI-5397,"Smart TV 50""",Computadores,3472.26,1,5,3298.65,Cartão de Débito,PE,Entregue
PED-10060,2023-03-02,CLI-9079,Smartwatch,Periféricos,346.82,1,15,294.8,Cartão de Crédito,MG,Entregue
PED-10061,2023-03-03,CLI-3390,Headphone Bluetooth,Smartphones,249.55,1,0,249.55,Cartão de Débito,CE,Entregue
PED-10062,2023-03-04,CLI-2036,Fone de Ouvido TWS,Acessórios,476.8,2,20,762.88,Cartão de Crédito,BA,Entregue
PED-10063,2023-03-05,CLI-3739,Caixa de Som Wireless,Computadores,506.65,1,0,506.65,PIX,PE,Entregue
PED-10064,2023-03-06,CLI-8121,Carregador Rápido,Periféricos,313.99,1,10,282.59,Cartão de Débito,DF,Entregue
PED-10065,2023-03-07,CLI-5521,Mouse Gamer,Acessórios,477.88,1,0,477.88,PIX,SP,Entregue
PED-10066,2023-03-08,CLI-7899,Console GameStation 5,Armazenamento,2023.62,1,0,2023.62,Cartão de Crédito,CE,Entregue
PED-10067,2023-03-09,CLI-5911,Mouse Gamer,Fotografia,444.39,2,10,799.9,Boleto,PE,Entregue
PED-10068,2023-03-10,CLI-8933,Mouse Gamer,Fotografia,440.7,1,0,440.7,Boleto,GO,Cancelado
PED-10069,2023-03-11,CLI-2260,Câmera DSLR,Fotografia,2005.22,5,0,10026.1,Cartão de Crédito,PA,Entregue
PED-10070,2023-03-12,CLI-6916,Caixa de Som Wireless,TVs e Áudio,499.4,2,5,948.86,PayPal,SC,Entregue
PED-10071,2023-03-13,CLI-5123,"Smart TV 50""",Periféricos,3432.78,1,5,3261.14,PayPal,AM,Em Processamento
PED-10072,2023-03-14,CLI-5040,Roteador WiFi 6,Acessórios,101.16,1,0,101.16,Boleto,SP,Entregue
PED-10073,2023-03-15,CLI-9123,Console GameStation 5,Fotografia,2084.49,2,0,4168.98,Boleto,BA,Entregue
PED-10074,2023-03-16,CLI-4203,SSD 1TB,Periféricos,638.0,2,0,1276.0,Cartão de Débito,SC,Enviado
PED-10075,2023-03-17,CLI-8501,Smartwatch,Armazenamento,331.92,2,20,531.07,Cartão de Débito,SP,Cancelado
PED-10076,2023-03-18,CLI-2752,Console GameStation 5,Fotografia,2068.31,2,0,4136.62,Boleto,AM,Entregue
PED-10077,2023-03-19,CLI-3219,Carregador Rápido,Acessórios,326.29,1,0,326.29,PayPal,PR,Cancelado
PED-10078,2023-03-20,CLI-5991,Fone de Ouvido TWS,Periféricos,490.16,1,15,416.64,Cartão de Débito,DF,Entregue
PED-10079,2023-03-21,CLI-1110,Caixa de Som Wireless,Fotografia,497.24,1,20,397.79,Cartão de Crédito,RJ,Entregue
PED-10080,2023-03-22,CLI-7483,SSD 1TB,Acessórios,625.96,3,20,1502.3,Cartão de Débito,SP,Entregue
PED-10081,2023-03-23,CLI-6443,Smartwatch,Computadores,356.67,2,0,713.34,Cartão de Débito,BA,Devolvido
PED-10082,2023-03-24,CLI-7224,Teclado Mecânico,Armazenamento,589.08,1,10,530.17,Cartão de Débito,RS,Entregue
PED-10083,2023-03-25,CLI-6399,Notebook Pro 15,Periféricos,2997.92,1,10,2698.13,PIX,AM,Entregue
PED-10084,2023-03-26,CLI-8212,Smartwatch,Acessórios,346.89,1,10,312.2,Cartão de Crédito,RJ,Entregue
PED-10085,2023-03-27,CLI-6484,Notebook Pro 15,Acessórios,3040.95,1,5,2888.9,Boleto,CE,Entregue
PED-10086,2023-03-28,CLI-8055,Teclado Mecânico,TVs e Áudio,585.8,2,5,1113.02,PayPal,SP,Entregue
PED-10087,2023-03-29,CLI-3230,Fone de Ouvido TWS,Periféricos,480.16,2,10,864.29,PayPal,RJ,Entregue
PED-10088,2023-03-30,CLI-5922,Caixa de Som Wireless,Computadores,515.65,3,10,1392.25,Boleto,PE,Entregue
PED-10089,2023-03-31,CLI-6253,"Smart TV 50""",Periféricos,3708.6,1,20,2966.88,PIX,SP,Entregue
PED-10090,2023-04-01,CLI-4290,Câmera DSLR,Armazenamento,1950.44,1,15,1657.87,PayPal,SC,Entregue
PED-10091,2023-04-02,CLI-8848,HDD Externo 4TB,TVs e Áudio,604.34,2,0,1208.68,Cartão de Débito,BA,Entregue
PED-10092,2023-04-03,CLI-6147,Teclado Mecânico,Periféricos,557.31,2,5,1058.89,PayPal,MG,Entregue
PED-10093,2023-04-04,CLI-3910,Câmera DSLR,Periféricos,2081.71,1,20,1665.37,Cartão de Crédito,PA,Entregue
PED-10094,2023-04-05,CLI-7524,Tripé para Câmera,Fotografia,1727.09,2,10,3108.76,Cartão de Crédito,MG,Enviado
PED-10095,2023-04-06,CLI-6228,Fone de Ouvido TWS,Acessórios,495.15,1,15,420.88,Boleto,PA,Entregue
PED-10096,2023-04-07,CLI-5775,Carregador Rápido,Armazenamento,319.25,1,0,319.25,PIX,GO,Entregue
PED-10097,2023-04-08,CLI-9044,Tablet Ultra,Computadores,196.42,1,0,196.42,PIX,AM,Entregue
PED-10098,2023-04-09,CLI-4971,Caixa de Som Wireless,TVs e Áudio,501.12,1,10,451.01,PayPal,GO,Entregue
PED-10099,2023-04-10,CLI-6339,Tablet Ultra,Acessórios,210.46,1,5,199.94,PIX,BA,Entregue
PED-10100,2023-04-11,CLI-7161,Smartwatch,Smartphones,344.76,1,10,310.28,PIX,RS,Entregue
PED-10101,2023-04-12,CLI-5592,SSD 1TB,Armazenamento,617.96,2,0,1235.92,PayPal,BA,Entregue
PED-10102,2023-04-13,CLI-7437,SSD 1TB,TVs e Áudio,642.94,1,0,642.94,Cartão de Crédito,PE,Entregue
PED-10103,2023-04-14,CLI-6980,Caixa de Som Wireless,Computadores,489.11,1,5,464.65,Cartão de Débito,BA,Entregue
PED-10104,2023-04-15,CLI-2865,HDD Externo 4TB,TVs e Áudio,590.36,3,0,1771.08,Boleto,BA,Entregue
PED-10105,2023-04-16,CLI-4273,Hub USB-C,TVs e Áudio,659.74,1,20,527.79,Cartão de Crédito,RJ,Entregue
PED-10106,2023-04-17,CLI-9939,HDD Externo 4TB,TVs e Áudio,584.69,1,20,467.75,PIX,GO,Entregue
PED-10107,2023-04-18,CLI-3947,Fone de Ouvido TWS,Fotografia,471.22,2,0,942.44,PIX,GO,Entregue
PED-10108,2023-04-19,CLI-1440,Mouse Gamer,Smartphones,442.08,1,15,375.77,PayPal,CE,Entregue
PED-10109,2023-04-20,CLI-8563,Smartwatch,Computadores,351.94,1,0,351.94,Boleto,MG,Entregue
PED-10110,2023-04-21,CLI-4434,Tablet Ultra,Computadores,201.9,1,10,181.71,Cartão de Débito,GO,Entregue
PED-10111,2023-04-22,CLI-8183,Power Bank,Computadores,458.41,1,15,389.65,PayPal,RS,Em Processamento
PED-10112,2023-04-23,CLI-5773,Tripé para Câmera,Acessórios,1773.31,3,0,5319.93,PayPal,RJ,Entregue
PED-10113,2023-04-24,CLI-2133,"Smart TV 50""",Armazenamento,3415.04,2,0,6830.08,Cartão de Débito,MG,Entregue
PED-10114,2023-04-25,CLI-7703,Notebook Pro 15,Computadores,3152.05,2,0,6304.1,Cartão de Débito,CE,Enviado
PED-10115,2023-04-26,CLI-9180,Headphone Bluetooth,Armazenamento,244.23,3,15,622.79,PIX,BA,Cancelado
PED-10116,2023-04-27,CLI-3280,Tablet Ultra,Computadores,206.7,2,5,392.73,PayPal,CE,Entregue
PED-10117,2023-04-28,CLI-5961,Console GameStation 5,Smartphones,1979.02,1,5,1880.07,Cartão de Crédito,MG,Entregue
PED-10118,2023-04-29,CLI-4965,Hub USB-C,Acessórios,667.64,3,10,1802.63,Cartão de Crédito,AM,Em Processamento
PED-10119,2023-04-30,CLI-5139,Roteador WiFi 6,Acessórios,99.51,1,10,89.56,PayPal,PR,Entregue
PED-10120,2023-05-01,CLI-3525,"Smart TV 50""",TVs e Áudio,3750.39,2,10,6750.7,Cartão de Débito,SP,Entregue
PED-10121,2023-05-02,CLI-7932,Fone de Ouvido TWS,Fotografia,479.54,3,0,1438.62,Boleto,PA,Entregue
PED-10122,2023-05-03,CLI-7176,Fone de Ouvido TWS,Acessórios,457.56,1,0,457.56,Cartão de Débito,SP,Entregue
PED-10123,2023-05-04,CLI-2211,Roteador WiFi 6,Acessórios,96.44,1,0,96.44,Cartão de Débito,SC,Entregue
PED-10124,2023-05-05,CLI-8357,Carregador Rápido,Smartphones,329.28,1,0,329.28,Boleto,PE,Entregue
PED-10125,2023-05-06,CLI-8851,Power Bank,Computadores,488.37,1,5,463.95,Cartão de Débito,GO,Entregue
PED-10126,2023-05-07,CLI-7566,Caixa de Som Wireless,Periféricos,515.39,2,5,979.24,Boleto,AM,Entregue
PED-10127,2023-05-08,CLI-9755,SSD 1TB,Acessórios,636.64,3,20,1527.94,PayPal,CE,Entregue
PED-10128,2023-05-09,CLI-9300,Smartphone Galaxy X,Acessórios,1513.28,1,0,1513.28,Boleto,BA,Entregue
PED-10129,2023-05-10,CLI-7853,Headphone Bluetooth,Periféricos,238.29,1,15,202.55,Cartão de Crédito,CE,Entregue
PED-10130,2023-05-11,CLI-9907,SSD 1TB,Fotografia,654.71,1,10,589.24,Boleto,BA,Entregue
PED-10131,2023-05-12,CLI-1602,Caixa de Som Wireless,Armazenamento,492.33,1,0,492.33,Cartão de Débito,PR,Enviado
PED-10132,2023-05-13,CLI-6890,Teclado Mecânico,Smartphones,570.79,1,20,456.63,PayPal,PR,Entregue
PED-10133,2023-05-14,CLI-9796,Headphone Bluetooth,Periféricos,231.05,1,15,196.39,Boleto,PE,Entregue
PED-10134,2023-05-15,CLI-2392,"Monitor 27""",Periféricos,648.56,3,15,1653.83,Cartão de Débito,RS,Entregue
PED-10135,2023-05-16,CLI-2791,Hub USB-C,Fotografia,687.71,1,0,687.71,Boleto,MG,Entregue
PED-10136,2023-05-17,CLI-5067,Console GameStation 5,Acessórios,1969.51,1,0,1969.51,PayPal,SC,Entregue
PED-10137,2023-05-18,CLI-6816,Carregador Rápido,Acessórios,332.63,2,0,665.26,PayPal,PR,Entregue
PED-10138,2023-05-19,CLI-3725,Smartphone Galaxy X,Smartphones,1531.98,1,0,1531.98,Cartão de Crédito,AM,Entregue
PED-10139,2023-05-20,CLI-1725,Caixa de Som Wireless,TVs e Áudio,514.28,4,10,1851.41,PayPal,PA,Entregue
PED-10140,2023-05-21,CLI-7547,Power Bank,TVs e Áudio,487.56,4,15,1657.7,Cartão de Débito,RJ,Entregue
PED-10141,2023-05-22,CLI-6432,Console GameStation 5,Periféricos,2073.76,1,5,1970.07,PayPal,SP,Entregue
PED-10142,2023-05-23,CLI-8052,Power Bank,Acessórios,465.31,1,0,465.31,PayPal,PA,Entregue
PED-10143,2023-05-24,CLI-2735,Headphone Bluetooth,Periféricos,234.93,1,0,234.93,Cartão de Débito,GO,Entregue
PED-10144,2023-05-25,CLI-1172,"Monitor 27""",Periféricos,664.77,1,15,565.05,Cartão de Débito,BA,Entregue
PED-10145,2023-05-26,CLI-2615,Power Bank,Acessórios,483.18,1,20,386.54,PayPal,DF,Enviado
PED-10146,2023-05-27,CLI-5239,Roteador WiFi 6,Fotografia,100.01,2,15,170.02,PayPal,PA,Entregue
PED-10147,2023-05-28,CLI-4637,Câmera DSLR,Armazenamento,1902.49,1,10,1712.24,Boleto,SP,Entregue
PED-10148,2023-05-29,CLI-9366,Tablet Ultra,Armazenamento,191.81,1,20,153.45,PayPal,PR,Em Processamento
PED-10149,2023-05-30,CLI-9499,Mouse Gamer,Fotografia,462.27,1,0,462.27,Cartão de Crédito,PR,Entregue
PED-10150,2023-05-31,CLI-4621,Console GameStation 5,Periféricos,2086.09,3,0,6258.27,Cartão de Crédito,RJ,Entregue
PED-10151,2023-06-01,CLI-8303,SSD 1TB,Fotografia,672.33,1,0,672.33,Cartão de Crédito,RJ,Entregue
PED-10152,2023-06-02,CLI-7129,Power Bank,Computadores,482.58,1,10,434.32,Cartão de Crédito,DF,Entregue
PED-10153,2023-06-03,CLI-7408,Smartphone Galaxy X,Acessórios,1499.4,1,15,1274.49,PayPal,SP,Entregue
PED-10154,2023-06-04,CLI-8586,Roteador WiFi 6,Computadores,92.54,5,0,462.7,Boleto,PE,Entregue
PED-10155,2023-06-05,CLI-9199,Teclado Mecânico,TVs e Áudio,569.61,1,0,569.61,Cartão de Débito,DF,Entregue
PED-10156,2023-06-06,CLI-3469,Tripé para Câmera,Acessórios,1790.05,2,0,3580.1,PayPal,GO,Entregue
PED-10157,2023-06-07,CLI-6651,Smartphone Galaxy X,Acessórios,1500.86,2,15,2551.46,PIX,AM,Entregue
PED-10158,2023-06-08,CLI-1402,Headphone Bluetooth,Smartphones,243.96,1,15,207.37,PayPal,SP,Entregue
PED-10159,2023-06-09,CLI-8909,Mouse Gamer,Acessórios,474.7,2,15,806.99,Cartão de Crédito,PR,Entregue
PED-10160,2023-06-10,CLI-2712,"Monitor 27""",TVs e Áudio,621.01,1,5,589.96,PIX,AM,Entregue
PED-10161,2023-06-11,CLI-5840,Smartwatch,Armazenamento,355.34,2,0,710.68,PayPal,SP,Devolvido
PED-10162,2023-06-12,CLI-7815,Notebook Pro 15,Armazenamento,3013.19,2,10,5423.74,Boleto,BA,Entregue
PED-10163,2023-06-13,CLI-2406,Smartwatch,Periféricos,340.8,1,15,289.68,Boleto,PE,Entregue
PED-10164,2023-06-14,CLI-2901,HDD Externo 4TB,Acessórios,566.49,1,0,566.49,PIX,PR,Entregue
PED-10165,2023-06-15,CLI-3321,"Smart TV 50""",Armazenamento,3589.49,2,0,7178.98,Cartão de Débito,CE,Entregue
PED-10166,2023-06-16,CLI-6707,"Smart TV 50""",Computadores,3601.93,1,10,3241.74,PIX,PR,Entregue
PED-10167,2023-06-17,CLI-6110,Tripé para Câmera,Periféricos,1776.24,1,5,1687.43,Boleto,PA,Entregue
PED-10168,2023-06-18,CLI-6620,"Smart TV 50""",Acessórios,3460.25,1,15,2941.21,PIX,PA,Entregue
PED-10169,2023-06-19,CLI-8460,SSD 1TB,Computadores,613.5,1,20,490.8,Cartão de Crédito,SP,Entregue
PED-10170,2023-06-20,CLI-4389,Tablet Ultra,Fotografia,207.89,2,0,415.78,Cartão de Crédito,MG,Entregue
PED-10171,2023-06-21,CLI-9537,Tablet Ultra,Fotografia,202.86,1,20,162.29,Cartão de Débito,CE,Enviado
PED-10172,2023-06-22,CLI-8912,Tripé para Câmera,Smartphones,1681.03,1,0,1681.03,PIX,SC,Entregue
PED-10173,2023-06-23,CLI-6706,SSD 1TB,Acessórios,666.91,1,15,566.87,PIX,PR,Entregue
PED-10174,2023-06-24,CLI-8801,Console GameStation 5,Fotografia,1930.38,2,15,3281.65,PIX,AM,Entregue
PED-10175,2023-06-25,CLI-2599,Caixa de Som Wireless,Fotografia,494.87,1,20,395.9,PIX,DF,Devolvido
PED-10176,2023-06-26,CLI-8178,Power Bank,Armazenamento,459.38,2,15,780.95,Cartão de Débito,RS,Entregue
PED-10177,2023-06-27,CLI-8412,Roteador WiFi 6,Smartphones,94.06,1,15,79.95,Boleto,DF,Entregue
PED-10178,2023-06-28,CLI-6225,Hub USB-C,Smartphones,624.66,3,10,1686.58,PayPal,DF,Cancelado
PED-10179,2023-06-29,CLI-2100,Câmera DSLR,Armazenamento,2055.86,1,0,2055.86,Cartão de Débito,PA,Enviado
PED-10180,2023-06-30,CLI-5919,SSD 1TB,Acessórios,666.16,1,15,566.24,Boleto,GO,Em Processamento
PED-10181,2023-07-01,CLI-1732,Câmera DSLR,Computadores,2030.51,1,15,1725.93,Boleto,RS,Entregue
PED-10182,2023-07-02,CLI-2885,"Monitor 27""",Periféricos,628.29,3,5,1790.63,Boleto,PR,Entregue
PED-10183,2023-07-03,CLI-1370,Fone de Ouvido TWS,Acessórios,476.97,3,10,1287.82,PIX,SC,Entregue
PED-10184,2023-07-04,CLI-6620,Mouse Gamer,Computadores,449.24,1,0,449.24,Cartão de Débito,MG,Cancelado
PED-10185,2023-07-05,CLI-2791,Carregador Rápido,Smartphones,329.2,2,0,658.4,Boleto,GO,Entregue
PED-10186,2023-07-06,CLI-3692,Power Bank,TVs e Áudio,477.51,2,0,955.02,PayPal,CE,Entregue
PED-10187,2023-07-07,CLI-4996,Carregador Rápido,Acessórios,323.87,1,0,323.87,PayPal,PR,Entregue
PED-10188,2023-07-08,CLI-9454,Headphone Bluetooth,TVs e Áudio,233.34,1,0,233.34,Cartão de Crédito,BA,Em Processamento
PED-10189,2023-07-09,CLI-3858,Smartwatch,Computadores,357.04,1,0,357.04,Boleto,SC,Entregue
PED-10190,2023-07-10,CLI-3623,Smartwatch,Acessórios,334.74,1,0,334.74,Cartão de Débito,SC,Entregue
PED-10191,2023-07-11,CLI-6422,"Smart TV 50""",TVs e Áudio,3537.08,3,20,8488.99,PIX,SP,Entregue
PED-10192,2023-07-12,CLI-7985,Teclado Mecânico,TVs e Áudio,561.14,3,5,1599.25,Cartão de Crédito,CE,Entregue
PED-10193,2023-07-13,CLI-8570,Smartphone Galaxy X,Periféricos,1469.7,2,0,2939.4,Boleto,DF,Entregue
PED-10194,2023-07-14,CLI-4798,HDD Externo 4TB,Acessórios,591.53,1,0,591.53,PIX,AM,Entregue
PED-10195,2023-07-15,CLI-7636,SSD 1TB,TVs e Áudio,645.26,1,0,645.26,Cartão de Débito,MG,Entregue
PED-10196,2023-07-16,CLI-4022,Smartwatch,Periféricos,362.12,2,0,724.24,Cartão de Débito,GO,Entregue
PED-10197,2023-07-17,CLI-4053,HDD Externo 4TB,Periféricos,575.28,3,0,1725.84,Cartão de Crédito,GO,Entregue
PED-10198,2023-07-18,CLI-8080,Smartwatch,Acessórios,361.62,3,0,1084.86,Cartão de Crédito,BA,Entregue
PED-10199,2023-07-19,CLI-7481,Smartphone Galaxy X,TVs e Áudio,1533.25,2,20,2453.2,Boleto,CE,Entregue
PED-10200,2023-07-20,CLI-1478,"Smart TV 50""",Periféricos,3497.64,2,20,5596.22,PIX,PE,Entregue
PED-10201,2023-07-21,CLI-4232,Notebook Pro 15,Smartphones,3097.05,1,0,3097.05,PayPal,SP,Entregue
PED-10202,2023-07-22,CLI-8365,Smartwatch,Acessórios,351.53,1,10,316.38,PIX,RS,Entregue
PED-10203,2023-07-23,CLI-8037,"Smart TV 50""",Smartphones,3665.89,3,20,8798.14,Cartão de Débito,GO,Entregue
PED-10204,2023-07-24,CLI-7370,Notebook Pro 15,Armazenamento,2938.01,2,10,5288.42,Cartão de Débito,GO,Entregue
PED-10205,2023-07-25,CLI-1072,Teclado Mecânico,Fotografia,568.07,1,20,454.46,Boleto,BA,Devolvido
PED-10206,2023-07-26,CLI-4519,"Smart TV 50""",Smartphones,3577.17,1,15,3040.59,PayPal,PA,Entregue
PED-10207,2023-07-27,CLI-4371,Power Bank,TVs e Áudio,490.0,2,10,882.0,Boleto,CE,Em Processamento
PED-10208,2023-07-28,CLI-5560,Smartwatch,Computadores,337.74,1,0,337.74,Cartão de Débito,RS,Entregue
PED-10209,2023-07-29,CLI-2025,Caixa de Som Wireless,Armazenamento,511.65,1,15,434.9,Cartão de Débito,AM,Entregue
PED-10210,2023-07-30,CLI-2667,Tripé para Câmera,Smartphones,1744.23,1,0,1744.23,PIX,BA,Em Processamento
PED-10211,2023-07-31,CLI-9796,Câmera DSLR,Periféricos,1965.62,2,20,3144.99,PayPal,BA,Entregue
PED-10212,2023-08-01,CLI-4063,SSD 1TB,Armazenamento,649.22,2,10,1168.6,PIX,MG,Entregue
PED-10213,2023-08-02,CLI-6993,Tablet Ultra,Smartphones,202.88,1,0,202.88,PIX,SC,Entregue
PED-10214,2023-08-03,CLI-6340,HDD Externo 4TB,Periféricos,597.75,2,10,1075.95,Boleto,BA,Entregue
PED-10215,2023-08-04,CLI-4228,HDD Externo 4TB,Smartphones,600.29,1,5,570.28,PIX,MG,Cancelado
PED-10216,2023-08-05,CLI-8496,Tripé para Câmera,Computadores,1753.23,1,0,1753.23,Cartão de Crédito,PA,Em Processamento
PED-10217,2023-08-06,CLI-2867,Smartwatch,Computadores,356.8,2,0,713.6,Cartão de Crédito,CE,Cancelado
